regular_NOCs, PD
Init: players
Step:0
players[185]: Index: 185; Strategy: True; AccPayOffs: 1
players[186]: Index: 186; Strategy: True; AccPayOffs: 8
players[187]: Index: 187; Strategy: False; AccPayOffs: 2
players[188]: Index: 188; Strategy: True; AccPayOffs: 4
players[189]: Index: 189; Strategy: True; AccPayOffs: 4
players[190]: Index: 190; Strategy: True; AccPayOffs: 1
players[191]: Index: 191; Strategy: False; AccPayOffs: 6
players[192]: Index: 192; Strategy: True; AccPayOffs: 2
players[193]: Index: 193; Strategy: True; AccPayOffs: 0
players[194]: Index: 194; Strategy: False; AccPayOffs: 4
players[195]: Index: 195; Strategy: False; AccPayOffs: 0
players[196]: Index: 196; Strategy: True; AccPayOffs: 2
players[197]: Index: 197; Strategy: True; AccPayOffs: 6
players[198]: Index: 198; Strategy: True; AccPayOffs: 2
players[199]: Index: 199; Strategy: True; AccPayOffs: 4
players[200]: Index: 200; Strategy: False; AccPayOffs: 0
players[201]: Index: 201; Strategy: True; AccPayOffs: 8
players[202]: Index: 202; Strategy: True; AccPayOffs: 6
players[203]: Index: 203; Strategy: True; AccPayOffs: 3
players[204]: Index: 204; Strategy: False; AccPayOffs: 0
players[205]: Index: 205; Strategy: True; AccPayOffs: 2
players[206]: Index: 206; Strategy: True; AccPayOffs: 1
players[207]: Index: 207; Strategy: True; AccPayOffs: 3
players[208]: Index: 208; Strategy: False; AccPayOffs: 4
players[209]: Index: 209; Strategy: True; AccPayOffs: 4
players[210]: Index: 210; Strategy: True; AccPayOffs: 4
players[211]: Index: 211; Strategy: True; AccPayOffs: 1
players[212]: Index: 212; Strategy: True; AccPayOffs: 0
players[213]: Index: 213; Strategy: True; AccPayOffs: 3
players[214]: Index: 214; Strategy: False; AccPayOffs: 6
players[215]: Index: 215; Strategy: True; AccPayOffs: 1
players[216]: Index: 216; Strategy: True; AccPayOffs: 1
players[217]: Index: 217; Strategy: False; AccPayOffs: 2
players[218]: Index: 218; Strategy: True; AccPayOffs: 1
players[219]: Index: 219; Strategy: True; AccPayOffs: 3
players[220]: Index: 220; Strategy: False; AccPayOffs: 2
players[221]: Index: 221; Strategy: True; AccPayOffs: 1
players[222]: Index: 222; Strategy: True; AccPayOffs: 6
players[223]: Index: 223; Strategy: True; AccPayOffs: 6
players[224]: Index: 224; Strategy: True; AccPayOffs: 2
players[225]: Index: 225; Strategy: False; AccPayOffs: 4
players[226]: Index: 226; Strategy: True; AccPayOffs: 1
players[227]: Index: 227; Strategy: True; AccPayOffs: 3
players[228]: Index: 228; Strategy: False; AccPayOffs: 4
players[229]: Index: 229; Strategy: False; AccPayOffs: 2
players[230]: Index: 230; Strategy: True; AccPayOffs: 3
players[231]: Index: 231; Strategy: True; AccPayOffs: 2
players[232]: Index: 232; Strategy: False; AccPayOffs: 0
players[233]: Index: 233; Strategy: True; AccPayOffs: 3
players[234]: Index: 234; Strategy: True; AccPayOffs: 6
players[235]: Index: 235; Strategy: True; AccPayOffs: 2
players[236]: Index: 236; Strategy: True; AccPayOffs: 6
players[237]: Index: 237; Strategy: False; AccPayOffs: 2
players[238]: Index: 238; Strategy: False; AccPayOffs: 2
players[239]: Index: 239; Strategy: False; AccPayOffs: 4
players[240]: Index: 240; Strategy: True; AccPayOffs: 4
players[241]: Index: 241; Strategy: True; AccPayOffs: 3
players[242]: Index: 242; Strategy: True; AccPayOffs: 6
players[243]: Index: 243; Strategy: True; AccPayOffs: 1
players[244]: Index: 244; Strategy: True; AccPayOffs: 1
players[245]: Index: 245; Strategy: True; AccPayOffs: 4
players[246]: Index: 246; Strategy: True; AccPayOffs: 2
players[247]: Index: 247; Strategy: False; AccPayOffs: 2
players[248]: Index: 248; Strategy: True; AccPayOffs: 4
players[249]: Index: 249; Strategy: False; AccPayOffs: 0
players[250]: Index: 250; Strategy: True; AccPayOffs: 1
players[251]: Index: 251; Strategy: True; AccPayOffs: 3
